	size
2equ	468593
4zp4	469043
4xi8	469345
4fqb	470447
7r7g	471374
2krf	472729
6r58	473703
6pi7	473958
2b5l	479747
5f2v	482948
4q4a	485637
6dk2	486002
3j6r	487565
6wy7	490460
6pan	491680
7nhp	492095
7jse	493196
5vmk	496835
5q0b	506192
3ax7	507874
7aq2	508480
6yiq	512379
6jz2	512614
2dja	518529
3wf2	521136
2heq	533249
3mf3	540491
1hoy	542521
7lbz	543058
5i48	543229
6jpb	543452
2mry	543681
6ttz	543747
4yz1	545271
3vt0	551668
6acd	559656
6qep	560493
6v8x	568821
1m3u	570190
6kex	571479
6jqq	572705
5edu	574605
1q57	575360
6vy2	575376
2wrb	575573
7w5u	578405
3pph	580658
2m8w	582720
6eis	583264
1atd	587653
2ls7	592088
6l6r	592365
7bm6	598105
5qah	605532
7nx0	606954
3znl	608283
7wg6	609987
1wgw	611196
2km6	611845
7tke	620695
4hh4	625451
4u3j	628961
4ybo	634231
1u2n	642584
7sxx	644827
4wvf	656584
4pjg	660254
4pjx	664907
6jcy	667002
4inf	669718
7lva	673903
4z7u	680733
1uew	683350
5m3k	684187
6tld	694666
5scd	697502
5aa2	698267
5vvc	712286
2poa	715743
1el0	724545
2kkc	726512
5nhd	726602
2m74	745643
5hss	746640
5kzp	752858
4lgl	758042
4kwg	763460
6l7p	770915
6ziv	780438
2loe	795749
2ebk	799851
5isc	811411
5tbh	811423
6sih	825989
7qus	833927
6cyq	834951
2kvr	835955
2e0g	844703
2ja5	844773
1de2	845008
1y77	850101
1btb	856674
6kj6	856726
2k3y	857270
2k5t	863384
7vh5	874708
2dba	879722
6jw3	892892
5ez3	893942
2xku	915688
4jx5	920185
6mb2	937610
6o65	943871
7p7c	997744
2ign	1049000
7kbq	1049039
5zl5	1055457
2kf2	1061453
6e5u	1086930
7olg	1160266
1a24	1181369
4ziw	1201561
6eee	1237067
7o0v	1250331
4fby	1301809
2me9	1305967
7ffc	1354438
6kw4	1357600
7udh	1362310
1wki	1379443
7fda	1430349
2rqf	1438450
7adz	1483969
5vbf	1487464
3j1c	1528488
6o4k	1550387
6uov	1555160
4s13	1561195
6v88	1663830
6po2	1759084
6tbg	1958707
5gaf	2262428
7chl	2294265
6htd	2520096
4qwr	2533041
6htb	2533610
5mu8	2846331
4yg2	2919460
6n8n	3023869
4v72	3504788
4hea	3669572
4uje	4966137
7tbi	5363642
6v12	5406109
6u3q	5551893
7l5u	6118610
5t0c	7893603
